Food,,Price,Oil,GL,Useble Cals,"AAF 
adj
 Prot","CarbsNet of
TDF",Total Fat,TDF,Sodium,Potassium,Phosphorus,Calcium,Magnecium,Total EAA,Lysine,Gross Prot-ein,Free Sugar,"AA
Factor",GI,C:P:F,,,Calcu-lted Cals
CEREALS,,,gms,,,gms,gms,gms,gms,,mgms,,,,mgms,mgms,gms,,,,,,,
Atta - Aseerwad,1,0.05,0.0,0.4,3.4,0.0,0.7,0.0,0.1,0.0,3.1,3.2,0.3,1.3,12.7,1.1,0.1,0.0,0.42,,,,,
Atta -  (1 Tb spoon - 10 g),1,0.04,0.0,0.4,3.2,0.0,0.6,0.0,0.1,0.0,3.1,3.2,0.3,1.3,12.7,1.1,0.1,0.0,0.42,0.66,89,6,5,3
Wheat with milling,1,0.06,0.0,0.4,3.2,0.0,0.6,0.0,0.1,0.0,3.1,3.2,0.3,1.3,12.7,1.1,0.1,0.0,0.42,0.66,,,,
Atta FFL ,1,0.12,0.0,0.3,3.0,0.1,0.5,0.0,0.2,0.0,3.0,0.0,0.0,0.0,27.4,2.1,0.2,0.0,0.57,0.53,71,18,11,3
Barley,1,0.00,0.0,0.3,3.2,0.0,0.6,0.0,0.2,0.0,2.7,0.0,0.0,0.0,16.8,1.6,0.1,0.0,,0.43,89,7,4,3
Bajra ,1,0.04,0.0,0.4,3.5,0.0,0.6,0.1,0.1,0.0,3.7,2.9,0.3,1.2,17.4,0.0,0.1,1.4,0.42,0.58,79,6,16,3
Chocos ,1,0.00,0.0,0.0,3.6,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,87,6,7,4
"Corn, Sweet, raw (US)",1,0.25,0.0,0.1,1.0,0.0,0.2,0.0,0.0,0.0,3.0,1.6,0.1,0.5,6.1,0.4,0.0,0.0,,0.48,90,10,0,1
"Corn, Sweet, cook, (US)",1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.48,#DIV/0!,#DIV/0!,#DIV/0!,0
Corn flour,1,0.17,0.0,0.4,3.3,0.0,0.7,0.0,0.1,0.0,0.2,2.8,0.1,1.5,15.7,1.0,0.1,0.0,,0.66,84,5,11,3
Couscous (US) ,1,0.00,0.0,0.1,1.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.3,0.0,0.0,,0.65,91,7,2,1
Jowar,1,0.00,0.0,0.4,3.3,0.0,0.7,0.0,0.1,0.1,3.3,2.7,0.3,1.3,11.6,1.0,0.1,0.0,0.42,0.62,89,6,5,3
Korralu (Varagu) ,1,0.00,0.0,0.5,3.3,0.0,0.7,0.0,0.1,0.0,0.9,1.0,0.2,1.2,17.1,0.5,0.1,0.0,0.50,0.71,87,5,8,3
Maida (1 Tb spoon - 10 g),1,0.06,0.0,0.5,3.5,0.0,0.7,0.0,0.0,0.0,1.5,1.1,0.2,0.3,10.5,0.9,0.1,0.0,0.42,0.66,92,5,2,3
Maize dry with milling,1,0.04,0.0,0.4,3.3,0.0,0.6,0.0,0.1,0.0,2.9,0.0,0.0,0.0,11.1,1.0,0.1,0.0,0.59,0.62,84,5,11,3
Maize Tender,1,0.00,0.0,0.1,1.2,0.0,0.2,0.0,0.0,0.0,1.7,0.0,0.0,0.0,3.7,0.3,0.0,0.0,0.59,0.48,83,5,12,1
Noodles,1,0.00,0.3,0.3,5.3,0.0,0.5,0.3,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.1,0.1,0.0,0.42,0.54,42,3,55,5
Oats - Quacker (1 Tb spoon - 10 g),1,0.00,0.0,0.4,3.8,0.0,0.6,0.1,0.1,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.59,0.65,76,6,18,3
Oats - Rolled*,1,0.00,0.0,0.3,3.8,0.0,0.6,0.1,0.1,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.59,0.50,76,6,18,3
Pastha (1 Tb spoon - 10 g),1,0.00,0.0,0.2,1.6,0.0,0.3,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.42,0.57,87,7,6,1
Pizza Base (1 pce - 85 g),1,0.00,0.0,0.4,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.7,0.1,0.0,,,86,5,9,3
Pizza Base Green ,1,0.00,0.0,0.1,1.4,0.1,0.2,0.0,0.1,0.0,2.5,0.0,0.0,0.0,22.5,1.9,0.2,0.0,,,,,,
Ragi (1 Tb spoon - 10 g),1,0.05,0.0,0.5,3.2,0.0,0.7,0.0,0.1,0.0,4.4,2.1,3.6,1.5,9.8,0.9,0.1,0.0,0.42,0.68,90,4,6,3
Ragi Sprouts ,1,0.00,0.0,0.2,2.1,0.0,0.4,0.0,0.1,0.0,2.9,0.0,0.0,0.0,6.5,0.6,0.0,0.0,0.42,0.50,,,,
Rice - Brown (US) ((1 Tb spoon - 15 g),1,0.05,0.0,0.4,3.5,0.0,0.7,0.0,0.0,0.0,2.0,2.7,0.1,0.9,16.2,1.7,0.1,0.0,0.50,0.50,91,6,3,3
Rice - Brown Cooked (3.2) (1 Tb spoon - 15 g),1,0.00,0.0,0.1,1.1,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,6.3,0.5,0.0,0.0,0.50,0.50,91,6,3,1
Rice - Puffed (1 Tb spoon - 5 g),1,0.00,0.0,0.5,3.6,0.0,0.8,0.0,0.0,0.0,1.4,1.5,0.2,0.6,11.7,1.2,0.1,0.0,0.50,0.69,91,4,4,3
Rice -Flakes (1 Tb spoon - 9 g),1,0.00,0.0,0.5,3.5,0.0,0.8,0.0,0.0,0.0,1.5,2.0,0.1,0.8,11.7,1.2,0.1,0.0,0.50,0.69,92,4,3,3
Rice- White (1 Tb spoon - 15 g),1,0.03,0.0,0.5,3.6,0.0,0.8,0.0,0.0,0.0,1.1,1.0,0.1,0.2,14.0,1.5,0.1,0.0,0.50,0.69,94,5,1,3
Rice- White cooked (1Tb spoon -15 g),1,0.00,0.0,0.2,1.2,0.0,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,5.7,0.5,0.0,0.0,0.50,0.69,94,5,1,1
Rice - Parboiled,1,0.00,0.0,0.8,3.5,0.0,0.8,0.0,0.0,0.0,1.4,0.0,0.1,0.0,16.7,1.3,0.1,0.0,0.50,0.99,94,5,2,3
Kesari Ravva for Haleem,1,0.06,0.0,0.4,3.3,0.0,0.7,0.0,0.1,0.0,2.8,0.0,0.0,0.0,13.2,1.2,0.1,0.0,,0.99,91,6,2,3
Sabudana,1,0.00,0.0,0.6,3.6,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.59,0.70,100,0,0,4
Suji / Dhalia (1 Tb spoon - 12 g),1,0.05,0.0,0.4,3.3,0.0,0.7,0.0,0.1,0.0,2.8,0.0,0.0,0.0,13.2,1.2,0.1,0.0,0.42,0.55,91,6,2,3
Vermicelli  (1 Tb spoon - 9 g),1,0.00,0.0,0.2,3.3,0.0,0.7,0.0,0.1,0.0,1.6,0.0,0.0,0.0,12.4,0.8,0.1,0.0,0.42,0.35,93,5,1,3
Quinoa ,1,0.30,0.0,0.4,3.3,0.1,0.5,0.1,0.1,0.0,4.7,2.1,2.0,1.2,17.4,3.1,0.1,0.0,0.42,0.71,75,8,17,3
Glucose D,1,0.00,0.0,0.9,3.6,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.00,100,0,0,4
Idli Batter (Ravva),1,0.00,0.0,0.2,1.6,0.0,0.3,0.0,0.0,0.0,1.7,0.0,0.0,0.0,12.2,1.7,0.1,0.0,,,,,,
Idli Batter ,1,0.00,0.0,0.2,1.5,0.0,0.3,0.0,0.0,0.0,3.2,0.0,0.0,0.0,19.4,2.9,0.1,0.0,,,,,,
Dals.,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0
Whole Bengalgram (Boiled),1,0.00,0.0,0.1,1.5,0.1,0.2,0.0,0.1,0.0,5.3,0.0,0.0,0.0,29.5,4.6,0.1,0.0,0.70,0.28,72,23,5,1
Whole Bengalgram (uncooked),1,0.00,0.0,0.0,2.9,0.1,0.4,0.1,0.3,0.3,9.4,2.7,1.5,1.6,54.5,8.7,0.2,0.0,0.70,0.11,,,,
Bengalgram -Dal (uncooked),1,0.11,0.0,0.1,3.3,0.2,0.5,0.1,0.2,0.2,9.6,3.3,0.5,1.2,58.3,9.1,0.2,0.0,0.70,0.11,63,20,16,3
Blackgram ,1,0.11,0.0,0.1,2.9,0.2,0.2,0.0,0.2,0.3,10.9,3.5,0.9,1.9,61.1,9.6,0.2,0.0,,,,,,
Blackgram dal (Gundu),1,0.00,0.0,0.2,3.2,0.2,0.5,0.0,0.1,0.2,11.6,3.8,0.6,1.7,64.1,10.0,0.2,0.0,0.70,0.43,72,23,5,3
Cow  peas (Black eyed / Lobia ),1,0.12,0.0,0.2,3.2,0.1,0.5,0.0,0.1,0.1,12.4,3.7,0.8,2.1,58.7,9.5,0.2,0.0,0.70,0.42,76,20,4,3
Greengram,1,0.00,0.0,0.1,2.9,0.2,0.5,0.0,0.2,0.1,11.8,3.5,0.9,2.0,65.8,10.4,0.2,0.0,0.70,0.31,72,24,4,3
Greengram- Pressure cooked,1,0.00,0.0,0.2,2.9,0.2,0.5,0.0,0.2,0.0,11.8,0.0,0.0,0.0,65.8,10.4,0.2,0.0,0.70,0.42,,,,
Greengram-Dal,1,0.00,0.0,0.2,3.3,0.2,0.5,0.0,0.1,0.1,12.7,4.2,0.4,1.6,68.6,10.2,0.2,0.0,0.70,0.42,73,23,4,3
Peas,1,0.00,0.0,0.1,3.0,0.1,0.5,0.0,0.2,0.2,9.2,3.3,0.8,1.2,55.8,10.2,0.2,0.0,0.70,0.22,73,21,6,3
Rajmah,1,0.00,0.0,0.1,3.0,0.1,0.5,0.0,0.2,0.1,13.7,4.0,1.3,1.6,58.6,9.1,0.2,0.0,0.70,0.19,74,21,6,3
Sprouts (1 Tb spoon - 10 g),1,0.00,0.0,0.0,1.0,0.1,0.2,0.0,0.1,0.0,3.9,0.0,0.0,0.0,21.7,3.4,0.1,0.0,0.70,0.25,72,24,4,1
Tuardhal,1,0.12,0.0,0.1,3.3,0.2,0.6,0.0,0.1,0.2,14.0,3.3,0.7,1.2,61.4,9.4,0.2,0.0,0.70,0.22,75,21,5,3
Lentil dal,1,0.00,0.0,0.2,3.2,0.2,0.5,0.0,0.1,0.1,7.9,3.1,0.4,0.7,63.4,10.4,0.2,0.0,,0.42,74,24,2,3
Horse gram whole,1,0.00,0.0,0.2,3.3,0.2,0.6,0.0,0.1,0.1,10.7,3.0,2.7,1.5,62.0,9.5,0.2,0.0,,0.42,78,21,2,3
Soyabean - Brown,1,0.12,0.0,0.0,3.8,0.2,0.1,0.2,0.2,0.0,16.1,4.8,2.4,2.6,109.5,19.1,0.4,0.0,,0.18,16,30,54,3
Tofu (1 Tb spoon - 12 g) ,1,0.39,0.0,0.0,0.7,0.1,0.1,0.0,0.0,0.2,1.5,0.8,1.1,0.2,34.5,4.2,0.1,0.0,0.91,0.18,28,38,33,1
Tofu Silken ,1,0.05,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.2,1.3,0.7,0.2,0.2,8.2,1.2,0.1,0.0,0.91,0.18,,,,
Green Tofu  ,1,0.12,0.0,0.0,0.6,0.1,0.1,0.0,0.0,0.0,1.9,0.0,0.0,0.0,29.2,3.6,0.1,0.0,,,,,,
Tofu Green (Lab),1,0.12,0.0,0.0,1.3,0.1,0.0,0.1,0.0,0.2,3.3,0.7,1.6,0.6,16.5,2.3,0.1,0.0,0.84,0.07,4,49,47,1
Seitan Tofu (Lab based),1,0.48,0.0,0.0,1.2,0.2,0.1,0.0,0.0,4.7,1.2,0.9,0.9,0.2,38.6,4.5,0.2,0.0,0.36,,27,57,16,2
Tempeh,1,0.00,0.0,0.0,1.9,0.2,0.1,0.1,0.0,0.0,4.1,0.0,0.0,0.0,68.4,8.3,0.2,0.0,0.91,,19,33,48,2
Miso,1,0.00,0.0,0.0,5.1,0.3,0.6,0.2,0.1,0.0,5.8,0.0,0.0,0.0,105.0,12.0,0.3,0.0,0.91,,47,23,30,5
Dal Palak (Cooked),1,0.00,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.0,3.6,0.0,0.0,0.0,12.2,1.8,0.0,0.0,,,,,,
FRUITS,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0
Amla,1,0.15,,0.0,0.2,0.0,0.1,0.0,0.1,0.0,2.2,0.2,0.2,0.1,0.6,0.1,0.0,0.0,0.64,,96,2,3,1
Anjeer ,1,0.00,,0.1,0.8,0.0,0.2,0.0,0.0,0.0,2.3,0.2,0.8,0.3,4.4,0.4,0.0,0.0,0.64,0.61,88,7,5,1
Anjeer- Dried (small - 4 g),1,1.10,,0.3,2.1,0.0,0.5,0.0,0.1,0.1,6.8,0.7,1.6,0.7,7.2,0.7,0.0,0.0,0.64,0.61,93,4,3,2
Apple (Small - 75 gm),1,0.00,,0.0,0.6,0.0,0.1,0.0,0.0,0.0,1.2,0.1,0.1,0.1,0.6,0.1,0.0,0.0,0.64,0.38,89,1,10,1
Avocado,1,0.00,,0.0,1.4,0.0,0.0,0.1,0.1,0.0,3.8,0.6,0.3,0.5,7.0,1.1,0.0,0.0,0.64,,5,5,90,1
Banana ripe (Medium - 100 gm),1,0.08,,0.1,1.1,0.0,0.2,0.0,0.0,0.0,3.6,0.2,0.1,0.3,3.2,0.3,0.0,0.1,0.64,0.51,94,3,3,1
Dates (Seed less),1,0.16,,0.8,3.1,0.0,0.7,0.0,0.1,0.0,7.8,0.4,0.7,0.8,4.2,0.4,0.0,0.3,0.64,1.03,97,2,1,3
Grapes,1,0.00,,0.1,0.5,0.0,0.1,0.0,0.0,0.0,1.7,0.2,0.1,0.1,1.3,0.1,0.0,0.0,0.64,0.46,92,3,5,1
Guava (Medium - 100 gm),1,0.00,,0.0,0.3,0.0,0.1,0.0,0.1,0.0,2.8,0.2,0.2,0.2,2.6,0.2,0.0,0.0,0.64,0.38,76,14,11,0
Lemon Juice,1,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,,,,,,
Mango (Medium - 150 g),1,0.00,,0.0,0.4,0.0,0.1,0.0,0.0,0.0,1.4,0.1,0.2,0.1,1.4,0.2,0.0,0.0,0.64,0.60,84,4,13,0
Melon Musk (1 Tb spoon - 20 g),1,0.00,,0.0,0.2,0.0,0.0,0.0,0.0,0.1,2.1,0.2,0.1,0.1,0.6,0.0,0.0,0.0,0.64,0.65,80,5,15,0
Melon Water (1 Tb spoon - 20 g),1,0.02,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.3,0.1,0.0,0.1,1.0,0.1,0.0,0.0,0.64,0.72,84,8,8,0
Mosambi(E) (medium - 100 g),1,0.00,,0.0,0.3,0.0,0.1,0.0,0.0,0.0,1.8,0.2,0.3,0.2,0.9,0.1,0.0,0.0,0.64,0.42,85,8,7,0
Orange Pulp,1,0.30,,0.0,0.4,0.0,0.1,0.0,0.0,0.0,1.6,0.1,0.2,0.1,0.7,0.1,0.0,0.0,0.64,0.42,91,5,3,0
Palmyrah Fruit (1 no - 70 g),1,0.00,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.64,,89,6,5,0
Papaya (1 Tb spoon - 20 g),1,0.00,,0.0,0.2,0.0,0.0,0.0,0.0,0.1,1.7,0.2,0.2,0.1,0.7,0.1,0.0,0.0,0.64,0.60,88,5,7,0
Pears (Medium - 100 g),1,0.00,,0.0,0.4,0.0,0.1,0.0,0.0,0.0,1.1,0.1,0.1,0.1,0.6,0.1,0.0,0.0,0.64,0.38,91,3,7,0
Pineapple (1 Slice - 70 g),1,0.00,,0.1,0.4,0.0,0.1,0.0,0.0,0.0,1.4,0.1,0.1,0.1,0.9,0.1,0.0,0.1,0.64,0.59,93,3,4,0
Plum ( 1 no - 50 g),1,0.00,,0.0,0.6,0.0,0.1,0.0,0.0,0.0,1.6,0.1,0.1,0.1,1.0,0.1,0.0,0.1,0.64,0.39,90,3,7,1
Pomogranete (1 Tb spoon - 20 g),1,0.00,,0.0,0.5,0.0,0.1,0.0,0.0,0.0,2.1,0.1,0.1,0.1,1.8,0.1,0.0,0.1,0.64,0.40,91,7,3,1
Raisins,1,0.00,,0.4,3.0,0.0,0.7,0.0,0.0,0.1,9.1,0.9,0.7,0.3,4.0,0.5,0.0,0.2,0.64,0.64,97,2,1,3
Sapota (1 no - 70 g),1,0.00,,0.1,0.7,0.0,0.1,0.0,0.1,0.0,2.8,0.2,0.2,0.2,2.2,0.3,0.0,0.0,0.64,0.54,80,3,16,1
Seetaphal (1 no - 150 g),1,0.00,,0.1,1.0,0.0,0.2,0.0,0.1,0.0,2.8,0.4,0.3,0.4,3.6,0.4,0.0,0.0,0.64,0.54,89,5,7,1
Straw berry ( 1 no - 20 g),1,0.00,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.4,0.3,0.2,0.2,2.0,0.2,0.0,0.0,0.64,0.40,64,12,24,0
HEALTH DRINKS,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0
