Food,,Price,Oil,GL,Useble Cals,"AAF 
Dry Amaranth ,1,2.22,0.0,0.0,1.9,0.2,0.1,0.0,0.3,0.1,35.8,0.8,2.5,1.8,62.7,8.2,0.2,0.0,0.73,,,,,
Amaranth Green (Koyyagura),1,0.25,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,5.7,0.7,3.6,2.0,10.0,1.3,0.0,0.0,0.73,,37,39,24,0
Cabbage,1,0.00,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,2.3,0.3,0.5,0.2,2.9,0.3,0.0,0.0,0.73,,72,22,6,0
Cabbage-Red(US),1,0.09,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,2.0,0.2,0.5,0.3,2.9,0.3,0.0,0.0,0.73,,70,20,9,0
Cauliflower Greens,1,0.09,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,3.7,0.6,1.0,0.4,8.9,1.1,0.0,0.0,0.73,,47,40,13,0
Curry Leaves,1,0.27,0.0,0.0,0.6,0.1,0.0,0.0,0.2,0.2,5.8,0.8,6.6,1.8,17.6,2.0,0.1,0.0,0.73,,37,44,19,0
Dhaniya (Coriander),1,0.25,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.4,5.5,0.6,1.5,0.7,10.4,1.3,0.0,0.0,0.73,,32,42,26,0
DrumstickLeaves (dry),1,2.22,0.0,0.0,0.7,0.0,0.1,0.0,0.1,0.1,4.0,1.1,3.1,1.0,17.1,2.0,0.1,0.0,0.73,,40,33,26,1
Gongoora,1,0.30,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,2.6,0.3,1.5,0.8,5.4,0.8,0.0,0.0,0.73,,53,17,30,0
Greens (Ganga),1,0.20,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.9,0.3,0.0,0.0,0.73,,72,22,6,0
Lettuce,1,0.08,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,2.8,0.4,0.6,0.4,4.1,0.6,0.0,0.0,0.73,,63,24,13,0
Methi Leaves,1,0.29,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,2.3,0.5,2.7,0.6,11.6,1.6,0.0,0.0,0.73,,32,40,28,0
Onion stalks,1,0.10,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.2,3.1,0.3,0.3,0.7,6.5,1.0,0.0,0.0,,,59,30,12,0
Palak,1,0.26,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,6.3,0.3,0.8,0.9,6.8,0.7,0.0,0.0,0.73,,41,31,29,0
Ponnagani,1,0.17,0.0,0.0,0.5,0.0,0.1,0.0,0.1,0.4,4.6,0.6,3.9,0.8,14.9,1.9,0.1,0.0,0.73,,49,36,15,0
Ambatichuka,1,0.17,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,2.3,0.7,1.9,0.5,2.9,0.3,0.0,0.0,0.73,,72,22,6,0
Bacchali (Mayalu),1,0.11,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,2.3,0.7,1.9,0.5,2.9,0.3,0.0,0.0,0.73,,72,22,6,0
Parsley(US)/Bokchoy,1,0.32,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.5,4.7,0.8,2.9,0.5,17.6,2.3,0.1,0.0,0.73,,59,25,16,1
Pudina,1,0.00,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,13.4,1.0,0.0,0.0,0.73,,33,47,20,0
Pokchoy,1,0.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3,4.0,0.3,1.5,0.5,0.0,0.0,0.0,0.0,,,,,,
Veges - ROOTS & TUBERS,1,,,,,,,,,,,,0.0,0.0,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0
Beetroot,1,0.04,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.7,3.1,0.4,0.2,0.3,4.6,0.7,0.0,0.0,0.73,0.64,78,18,4,0
Carrot raw,1,0.06,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.5,2.7,0.4,0.4,0.2,2.0,0.2,0.0,0.0,0.73,0.64,76,9,14,0
Carrot Peeled and Boiled,1,0.09,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,2.7,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.73,0.64,,,,
Colocasia,1,0.00,0.0,0.0,0.9,0.0,0.2,0.0,0.0,0.0,5.1,0.8,0.3,0.4,9.6,1.0,0.0,0.0,0.73,0.64,86,12,2,1
Garlic,1,0.16,0.0,0.0,1.2,0.1,0.2,0.0,0.1,0.1,4.5,4.3,0.2,0.3,14.3,2.0,0.1,0.1,0.73,0.64,80,18,1,1
Mango Ginger,1,0.50,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.1,3.8,0.7,0.1,0.4,4.2,0.2,0.0,0.0,0.73,0.64,73,11,16,0
Ginger,1,0.06,0.0,0.0,0.4,0.0,0.1,0.0,0.1,0.1,4.1,0.4,0.2,0.5,5.5,0.4,0.0,0.0,0.73,0.64,72,13,15,1
Onion - big,1,0.05,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.1,1.7,0.3,0.2,0.2,2.5,0.4,0.0,0.1,0.73,0.64,85,10,5,0
Onion - small,1,0.14,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.0,1.6,0.4,0.2,0.2,4.1,0.3,0.0,0.1,0.73,0.64,87,10,3,1
Potato,1,0.03,0.0,0.1,0.6,0.0,0.1,0.0,0.0,0.0,4.7,0.4,0.1,0.2,5.7,0.6,0.0,0.0,0.73,0.64,90,7,3,1
Potato  (Baby),1,0.06,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4.7,0.4,0.1,0.2,5.7,0.6,0.0,0.0,0.73,0.64,0,68,32,0
Radish - White,1,0.08,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.3,2.9,0.3,0.3,0.2,1.7,0.2,0.0,0.0,0.73,0.64,88,8,5,0
Radish - White Peeled & Cokked,1,0.00,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,2.9,0.0,0.0,0.0,1.7,0.2,0.0,0.0,0.73,0.64,88,8,5,0
Sweet Potato,1,0.00,0.0,0.1,1.1,0.0,0.2,0.0,0.0,0.3,3.3,0.4,0.3,0.2,4.0,0.4,0.0,0.0,0.73,0.64,93,4,3,1
Yam Ordinary,1,0.00,0.0,0.1,0.8,0.0,0.2,0.0,0.0,0.1,4.6,0.4,0.5,0.3,6.0,0.7,0.0,0.0,0.73,0.64,90,8,2,1
 VEGES - OTHERs,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0
Ash Gourd,1,0.09,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3.7,0.3,0.0,0.2,2.0,0.2,0.0,0.0,0.73,,76,15,8,0
Unripe Banana ,1,0.06,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,4.0,0.2,0.1,0.3,2.7,0.3,0.0,0.0,0.73,0.45,93,5,3,1
Bengalore Brinjal (Squash),1,0.00,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.2,0.2,0.2,0.1,2.0,0.2,0.0,0.0,0.73,,81,11,8,0
Bhindi (Okra /Ladiesfingers),1,0.06,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,2.6,0.6,0.9,0.7,4.6,0.6,0.0,0.0,0.73,,54,34,11,0
Brinjal,1,0.04,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.5,0.3,0.2,0.3,3.5,0.4,0.0,0.0,0.73,,66,20,14,0
Broccoli,1,0.08,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.3,0.0,0.7,0.5,0.2,0.0,0.0,0.0,0.0,0.73,,,,,
Capsicum Red & Yellow,1,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,0.0,0.0,0.0,0.0,1.73,,,,,
Capsicum Green,1,0.07,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.5,0.2,0.1,0.1,3.1,0.5,0.0,0.0,0.73,,54,24,22,0
Cauliflower,1,0.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3,3.3,0.5,0.3,0.2,5.5,0.6,0.0,0.0,0.73,,44,34,22,0
Celery ,1,0.10,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,3.0,0.4,0.4,0.2,2.0,0.2,0.0,0.0,0.73,,65,20,15,0
Cluster Beans,1,0.04,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1.2,0.8,7.6,0.8,0.0,0.0,0.73,,59,31,10,0
Drumstick ,1,0.00,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.2,4.2,0.5,0.3,0.4,5.9,0.6,0.0,0.0,0.73,,63,32,5,0
French beans / Alasandalu,1,0.09,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,3.2,0.6,0.6,0.4,6.9,0.9,0.0,0.0,0.73,,53,36,12,0
Gourds,1,0.06,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.2,0.3,0.2,0.1,1.6,0.2,0.0,0.0,0.73,,71,16,12,0
Green Chillies,1,0.12,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,3.4,0.6,0.2,0.3,5.5,0.6,0.0,0.0,0.73,,64,19,18,0
Karela,1,0.00,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,3.3,0.4,0.2,0.3,4.7,0.6,0.0,0.0,0.73,,64,24,12,0
Kheera,1,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,1.8,0.3,0.2,0.2,1.8,0.2,0.0,0.0,0.73,,80,12,8,0
Knol khol,1,0.00,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3,3.3,0.4,0.4,0.2,3.0,0.3,0.0,0.0,0.73,,42,35,24,0
Kovai,1,0.04,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.3,0.2,4.1,0.7,0.0,0.0,0.73,,56,28,15,0
Mango Green,1,0.00,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.3,1.5,0.1,0.3,0.2,2.1,0.3,0.0,0.0,0.73,,94,4,2,0
Mushrooms,1,0.20,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,3.2,0.9,0.2,0.2,11.4,1.8,0.0,0.0,0.73,,35,48,17,0
Karonda,1,0.10,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,3.5,0.3,0.1,0.2,0.0,0.0,0.0,0.0,,,,,,
Parwal ,1,0.00,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.2,0.3,0.3,0.2,3.9,0.6,0.0,0.0,0.73,,68,20,13,0
Peas (Fresh),1,0.08,0.0,0.1,0.8,0.0,0.1,0.0,0.1,0.0,2.5,0.6,0.3,0.4,16.2,2.5,0.1,0.0,0.73,0.54,72,26,2,1
Pumpkin ,1,0.09,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,1.9,0.2,0.2,0.1,2.2,0.2,0.0,0.0,0.73,0.75,80,12,7,0
Tomato - ripe,1,0.08,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,1.7,0.2,0.1,0.1,1.7,0.2,0.0,0.0,0.73,,61,15,24,0
Tomato - Cherry,1,0.08,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4.8,1.7,0.4,0.1,0.2,1.7,0.2,0.0,0.0,0.73,,61,15,24,0
 Zucchini  Yellow,1,0.00,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.3,0.3,0.2,0.1,2.9,0.4,0.0,0.0,0.73,,53,19,28,0
Chikkudu,1,0.06,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,3.2,0.8,0.6,0.5,6.9,0.9,0.0,0.0,0.73,,53,36,12,0
Tomato Puri,1,0.14,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.3,4.4,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.73,,82,15,3,0
Veggies - FIT FOR LIFE,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,0
Green Mix,1,0.21,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,8.4,1.1,0.0,0.0,0.73,0.00,46,37,17,0
Soup Greens,1,0.22,0.1,0.0,1.0,0.0,0.0,0.1,0.1,0.0,4.3,0.0,0.0,0.0,9.6,1.2,0.0,0.0,,,,,,
Veg Broth (Thick),1,0.00,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.8,0.2,0.0,0.0,1.73,0.00,,,,
Bone Broth,1,0.21,0.1,0.0,1.0,0.1,0.0,0.1,0.0,3.4,0.4,0.2,0.3,0.0,62.4,8.1,0.1,0.0,,0.00,9,38,53,1
Mango Pulp,1,0.15,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,0.2,0.0,0.0,,,,,,
Salad Veggies,1,0.00,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.73,0.00,61,28,10,0
Curry Veggies ,1,0.00,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.73,0.00,67,23,10,0
Salad Greens,1,0.00,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.73,0.00,21,47,32,0
Sambar Veggies,1,0.00,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.8,0.3,0.0,0.0,0.73,0.15,72,17,11,0
Vegetable Stock ,1,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.73,,22,6,72,0
Vegetables for Soup ,1,0.13,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,2.7,0.4,0.4,0.3,4.8,0.6,0.0,0.0,0.73,,63,26,11,0
Vegetables for Omlet (gms),1,0.00,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,7.8,1.0,0.0,0.0,0.49,,,,,
Date Orange Marmalade,1,0.35,0.0,0.3,1.4,0.0,0.3,0.0,0.0,0.0,3.1,0.0,0.0,0.0,1.6,0.2,0.0,0.2,0.49,,97,2,1,1
Peanut Butter,1,0.00,0.0,0.0,4.5,0.1,0.2,0.3,0.3,0.0,5.4,6.2,0.0,0.0,35.3,3.3,0.2,0.0,,,,,,
Super Seeds(G S) ,1,0.40,0.0,0.0,3.6,0.1,0.1,0.3,0.3,0.1,1.7,7.7,1.8,3.0,38.7,4.3,0.2,0.0,,,,,,
Super Seeds ,1,0.54,0.0,0.1,4.6,0.1,0.2,0.3,0.2,0.1,4.6,0.0,3.6,4.0,48.8,5.5,0.2,0.0,,,,,,
Super Seeds (w/o Til and Flax),1,0.00,0.0,0.1,4.5,0.1,0.2,0.3,0.2,0.0,4.0,0.2,0.0,0.0,52.2,6.3,0.2,0.3,,,,,,
Date Paste (Thin for Date marmalade),1,0.08,0.0,0.3,1.2,0.0,0.3,0.0,0.0,0.0,3.1,0.0,0.3,0.3,1.7,0.2,0.0,0.3,,,,,,
Date Paste (for DCC & Hung curd),1,0.26,0.0,0.6,2.6,0.0,0.6,0.0,0.1,0.0,6.5,0.0,0.0,0.0,3.5,0.3,0.0,0.6,,,,,,
Misc,1,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,#DIV/0!,#DIV/0!,#DIV/0!,0
Coco Powder,1,1.01,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.73,,1,0,99,1
Cocao Nibs (USA),1,0.00,0.0,0.0,5.3,0.0,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,,15,0,85,5
Gum,1,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,#DIV/0!,#DIV/0!,#DIV/0!,0
Honey,1,0.00,0.0,0.4,3.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.55,100,0,0,3
Jaggiry,1,0.06,0.0,0.6,3.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,0.68,100,0,0,4
Thaicurry paste,1,1.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.68,#DIV/0!,#DIV/0!,#DIV/0!,0
Sugar,1,0.04,0.0,0.7,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.68,100,0,0,4
Vineger,1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100,0,0,0
Soy Sauce,1,0.10,0.0,0.0,1.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,74,18,8,1
Date Paste (Thin / General),1,0.12,0.0,0.3,1.2,0.0,0.3,0.0,0.0,0.0,3.1,0.0,0.0,0.0,1.7,0.2,0.0,0.3,,,,,,
Water,1,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Salt,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.6,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,
Lemon Grass,1,0.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
